0,44,2,236
1,72,7,201
2,68,6,222
2,70,1,205
3,43,9,201
3,71,4,222
3,73,9,201
5,44,10,208
5,45,6,212
5,68,8,238
6,38,9,222
6,40,0,223
6,43,10,293
6,43,11,237
6,66,10,235
6,67,10,298
7,38,9,239
7,43,11,208
7,59,6,219
7,67,10,277
8,38,9,203
8,39,9,263
8,69,9,435
8,70,9,281
8,71,10,270
8,72,11,277
9,45,11,210
9,45,12,253
9,46,10,352
9,70,12,358
9,72,11,576
10,40,11,209
10,42,12,299
10,68,12,291
10,69,11,240
10,69,12,545
10,70,12,269
11,42,13,234
11,50,10,243
11,61,6,300
11,61,7,225
11,63,6,232
11,63,11,308
11,67,13,205
11,71,12,595
11,72,12,235
12,41,12,270
12,41,13,256
12,42,13,212
12,46,9,257
12,63,11,282
12,69,13,234
12,70,13,343
13,41,13,293
13,51,12,211
13,54,7,219
13,60,8,248
13,60,9,243
13,61,5,230
13,61,11,217
13,62,5,209
13,63,12,212
13,67,11,267
13,70,13,272
14,45,13,210
14,46,14,261
14,47,7,218
14,54,7,217
14,60,8,201
14,63,11,201
14,65,9,225
14,68,13,218
14,72,13,204
15,46,14,277
15,63,12,217
15,63,13,245
15,65,8,206
16,45,14,274
16,47,8,246
16,48,8,248
16,48,9,234
16,54,12,206
16,60,11,348
16,60,12,262
16,61,12,248
16,63,13,203
16,65,8,458
16,65,9,274
17,43,14,291
17,44,14,306
17,45,13,216
17,45,14,494
17,46,14,211
17,48,14,216
17,50,13,221
17,51,12,468
17,51,13,202
17,60,11,229
17,66,7,208
17,66,13,224
17,69,13,299
17,70,13,837
17,70,14,265
17,71,13,456
17,71,14,225
18,43,14,295
18,44,13,230
18,44,14,280
18,51,12,323
19,43,14,253
19,44,13,243
19,44,14,368
19,66,13,295
20,44,13,248
20,50,13,220
20,50,14,327
20,64,13,212
20,65,13,227
20,65,14,215
21,50,13,448
21,50,14,229
21,53,13,233
21,64,12,331
21,65,13,212
22,42,9,253
22,50,13,260
22,72,13,270
22,72,14,301
22,73,13,290
22,73,14,322
22,76,12,216
23,43,14,217
23,46,15,206
23,48,14,277
23,50,13,221
23,51,13,305
24,41,14,284
24,41,15,204
24,42,14,209
24,46,14,296
24,47,14,215
24,73,11,212
25,51,11,202
25,73,11,277
26,48,14,219
26,54,8,204
26,69,15,219
26,70,13,257
26,70,16,205
26,71,13,316
26,74,15,208
26,75,15,213
27,48,13,203
27,48,14,396
27,66,14,206
27,70,16,245
27,70,17,201
27,72,14,224
28,45,16,215
28,45,17,237
28,64,16,279
28,67,14,204
29,46,16,321
29,67,14,210
29,69,13,236
29,69,14,276
29,69,17,211
29,70,13,210
29,70,14,220
29,72,14,250
29,74,14,231
29,75,14,210
29,77,14,201
30,39,15,234
30,43,17,377
30,63,16,203
30,66,14,255
30,67,13,203
30,67,14,233
30,68,14,273
30,69,14,209
30,72,14,216
30,73,13,205
30,76,15,241
31,42,16,203
31,43,14,204
31,45,15,235
31,46,15,286
31,63,17,209
31,64,17,279
31,68,13,232
31,69,17,214
31,71,12,212
31,74,13,237
31,75,15,232
32,66,17,208
32,67,17,217
32,70,15,255
32,71,14,210
32,71,15,260
32,76,15,203
33,42,14,244
33,43,14,249
